id,creator_id,business_id,introduced_at,outcome,outcome_reason,creator_rating,business_rating,gig_count,total_paid,synthetic_quality_score
match_0001,creator_0256,biz_0255,2025-10-19,no_response,business_did_not_respond_to_pitch,,,0,0,0.5
match_0002,creator_0007,biz_0090,2026-03-12,no_response,creator_did_not_apply,,,0,0,0.3
match_0003,creator_0195,biz_0033,2025-11-06,successful,completed_first_gig_business_re_engaged,5.0,5.0,3,3000,0.75
match_0004,creator_0100,biz_0097,2025-12-09,no_response,creator_did_not_apply,,,0,0,0.25
match_0005,creator_0381,biz_0023,2025-05-27,failed,scope_misalignment,,,1,1200,0.65
match_0006,creator_0290,biz_0287,2025-05-19,failed,creator_unresponsive_after_intro,,,1,200,0.65
match_0007,creator_0124,biz_0025,2026-02-16,successful,completed_first_gig_business_re_engaged,4.0,5.0,1,900,0.6
match_0008,creator_0112,biz_0279,2026-03-21,failed,budget_negotiation_failed,,,1,200,0.35
match_0009,creator_0272,biz_0283,2025-12-18,successful,completed_first_gig_business_re_engaged,4.0,4.0,1,1400,0.2
match_0010,creator_0160,biz_0298,2026-01-19,successful,repeat_business,5.0,4.0,5,2000,0.7
match_0011,creator_0164,biz_0278,2025-09-23,failed,scope_misalignment,,,1,300,0.3
match_0012,creator_0313,biz_0045,2026-02-15,successful,completed_first_gig_no_repeat,4.0,4.0,1,1000,0.55
match_0013,creator_0298,biz_0239,2025-07-24,no_response,no_engagement_after_intro,,,0,0,0.3
match_0014,creator_0020,biz_0085,2025-12-31,successful,ongoing_collaboration,5.0,5.0,2,2800,0.75
match_0015,creator_0063,biz_0294,2025-05-11,no_response,creator_did_not_apply,,,0,0,0.3
match_0016,creator_0049,biz_0203,2025-10-24,no_response,creator_did_not_apply,,,0,0,0.5
match_0017,creator_0361,biz_0257,2025-09-10,successful,completed_multiple_gigs_excellent_reviews,5.0,5.0,2,1200,0.65
match_0018,creator_0220,biz_0117,2025-12-01,failed,budget_negotiation_failed,,,1,500,0.45
match_0019,creator_0245,biz_0192,2025-12-18,no_response,no_engagement_after_intro,,,0,0,0.7
match_0020,creator_0169,biz_0202,2025-12-01,failed,scope_misalignment,,,1,800,0.7
match_0021,creator_0154,biz_0055,2025-10-17,successful,completed_first_gig_business_re_engaged,5.0,5.0,2,2000,0.75
match_0022,creator_0344,biz_0001,2025-10-18,no_response,business_did_not_respond_to_pitch,,,0,0,0.2
match_0023,creator_0043,biz_0074,2025-05-10,successful,repeat_business,5.0,5.0,2,1200,0.8
match_0024,creator_0280,biz_0278,2025-11-09,successful,completed_first_gig_no_repeat,3.0,3.0,1,1700,0.2
match_0025,creator_0148,biz_0062,2025-05-11,failed,completed_first_gig_quality_below_expectations,,,1,800,0.25
match_0026,creator_0207,biz_0035,2025-11-01,failed,completed_first_gig_quality_below_expectations,,,1,800,0.45
match_0027,creator_0186,biz_0217,2025-08-08,failed,completed_first_gig_quality_below_expectations,,,1,800,0.7
match_0028,creator_0150,biz_0154,2026-04-01,successful,completed_first_gig_no_repeat,4.0,4.0,1,400,0.5
match_0029,creator_0327,biz_0245,2025-05-13,no_response,creator_did_not_apply,,,0,0,0.3
match_0030,creator_0020,biz_0252,2026-02-05,failed,budget_negotiation_failed,,,1,1200,0.35
match_0031,creator_0134,biz_0016,2025-12-20,failed,scope_misalignment,,,1,100,0.45
match_0032,creator_0374,biz_0276,2026-02-02,successful,completed_first_gig_business_re_engaged,4.0,5.0,1,500,0.6
match_0033,creator_0015,biz_0252,2026-03-09,failed,scope_misalignment,,,1,1200,0.35
match_0034,creator_0262,biz_0045,2025-06-12,failed,completed_first_gig_quality_below_expectations,,,1,1200,0.3
match_0035,creator_0102,biz_0043,2025-06-09,no_response,no_engagement_after_intro,,,0,0,0.25
match_0036,creator_0269,biz_0049,2025-06-27,failed,budget_negotiation_failed,,,1,1200,0.35
match_0037,creator_0398,biz_0124,2025-07-11,no_response,creator_did_not_apply,,,0,0,0.4
match_0038,creator_0186,biz_0166,2025-10-31,no_response,no_engagement_after_intro,,,0,0,0.3
match_0039,creator_0083,biz_0232,2026-02-05,no_response,creator_did_not_apply,,,0,0,0.35
match_0040,creator_0303,biz_0006,2025-08-05,successful,completed_first_gig_business_re_engaged,4.0,5.0,1,200,0.3
match_0041,creator_0044,biz_0228,2025-09-18,no_response,business_did_not_respond_to_pitch,,,0,0,0.15
match_0042,creator_0309,biz_0141,2025-09-10,failed,single_gig_no_repeat,,,1,100,0.65
match_0043,creator_0108,biz_0025,2025-09-21,no_response,no_engagement_after_intro,,,0,0,0.25
match_0044,creator_0202,biz_0265,2025-11-13,failed,scope_misalignment,,,1,300,0.2
match_0045,creator_0087,biz_0151,2026-04-05,successful,repeat_business,5.0,5.0,1,600,0.85
match_0046,creator_0245,biz_0102,2025-07-22,failed,completed_first_gig_quality_below_expectations,,,1,800,0.3
match_0047,creator_0375,biz_0199,2025-12-23,failed,creator_unresponsive_after_intro,,,1,800,0.65
match_0048,creator_0025,biz_0193,2026-02-16,successful,ongoing_collaboration,5.0,5.0,5,7000,0.65
match_0049,creator_0304,biz_0118,2025-12-13,failed,completed_first_gig_quality_below_expectations,,,1,200,0.2
match_0050,creator_0124,biz_0052,2026-02-20,successful,completed_first_gig_business_re_engaged,5.0,4.0,1,900,0.25
match_0051,creator_0301,biz_0013,2026-01-18,failed,scope_misalignment,,,1,300,0.4
match_0052,creator_0311,biz_0011,2025-06-08,no_response,business_did_not_respond_to_pitch,,,0,0,0.4
match_0053,creator_0081,biz_0279,2025-09-12,failed,completed_first_gig_quality_below_expectations,,,1,100,0.15
match_0054,creator_0300,biz_0143,2025-11-09,no_response,business_did_not_respond_to_pitch,,,0,0,0.25
match_0055,creator_0053,biz_0035,2025-05-26,successful,repeat_business,5.0,5.0,2,1200,0.65
match_0056,creator_0057,biz_0071,2025-05-11,successful,completed_multiple_gigs_excellent_reviews,5.0,5.0,5,1500,0.75
match_0057,creator_0228,biz_0280,2025-07-04,no_response,business_did_not_respond_to_pitch,,,0,0,0.2
match_0058,creator_0135,biz_0035,2025-10-22,failed,completed_first_gig_quality_below_expectations,,,1,100,0.5
match_0059,creator_0029,biz_0287,2025-09-30,successful,ongoing_collaboration,5.0,5.0,5,4000,0.8
match_0060,creator_0155,biz_0006,2026-01-26,successful,completed_first_gig_no_repeat,3.0,4.0,1,1300,0.45
match_0061,creator_0314,biz_0300,2025-11-14,successful,ongoing_collaboration,5.0,5.0,5,3000,0.8
match_0062,creator_0124,biz_0110,2026-02-20,no_response,business_did_not_respond_to_pitch,,,0,0,0.2
match_0063,creator_0106,biz_0246,2025-06-09,successful,single_gig_acceptable_quality,4.0,4.0,1,1300,0.2
match_0064,creator_0078,biz_0037,2025-11-01,no_response,no_engagement_after_intro,,,0,0,0.4
match_0065,creator_0044,biz_0075,2025-05-22,failed,completed_first_gig_quality_below_expectations,,,1,200,0.15
match_0066,creator_0068,biz_0290,2025-07-18,successful,single_gig_acceptable_quality,5.0,4.0,1,1700,0.5
match_0067,creator_0221,biz_0116,2026-02-23,failed,scope_misalignment,,,1,500,0.15
match_0068,creator_0222,biz_0022,2026-03-02,no_response,creator_did_not_apply,,,0,0,0.3
match_0069,creator_0228,biz_0099,2025-10-14,failed,single_gig_no_repeat,,,1,1200,0.4
match_0070,creator_0096,biz_0116,2025-05-23,failed,single_gig_no_repeat,,,1,1200,0.6
match_0071,creator_0113,biz_0209,2025-06-01,successful,repeat_business,5.0,4.0,1,800,0.6
match_0072,creator_0053,biz_0214,2026-03-14,failed,creator_unresponsive_after_intro,,,1,100,0.65
