id,name,primary_category,primary_subcategories,secondary_categories,content_needs,location,remote_acceptable,business_size,past_creators_hired,avg_creator_rating,budget_range_per_gig,niche_tags,current_gigs_open,active_in_last_30_days,preferred_creator_size,profile_description
biz_0001,"Briggs, Young and Thomas",beauty_wellness,"['skincare', 'spa']",[],"['social_posts', 'blog_posts']","Atlanta, GA",False,medium,0,,"[1000, 1500]","['anti_aging', 'spa_day', 'luxury', 'self_care']",1,True,any,"Luxury skincare & spa in Atlanta | Anti-aging treatments, facials, massages | Your self-care destination ✨"
biz_0002,Thompson and Sons,travel_hospitality,"['boutique_hotel', 'luxury_resort']",[],"['blog_posts', 'podcast', 'live_coverage']","Atlanta, GA",True,medium,1,4.0,"[1000, 2000]","['luxury_travel', 'budget_travel', 'boutique', 'international']",0,True,small,"Luxury boutique hotel in Atlanta. Intimate stays, thoughtful design, local experiences. International guests welcome."
biz_0003,"Jones, Bean and Burton",auto,"['parts', 'ev']",[],['photography'],"San Diego, CA",True,large,0,,"[2000, 5000]","['off_road', 'luxury', 'performance']",0,True,mid,"Auto parts & EV specialists | Off-road & performance builds | San Diego
Premium components for luxury vehicles. Custom setups, expert service.
Parts, upgrades, knowledge. We build rigs that perform. 🏜️"
biz_0004,Webster-Wolf,fitness_sports,['sports_retail'],[],['reels'],"Los Angeles, CA",False,small,0,,"[200, 900]","['nutrition', 'gear_review', 'cardio']",5,True,large,"Webster-Wolf | Sports Gear & Nutrition
LA-based. Reviews, workouts, and the gear that matters. Cardio to strength 💪"
biz_0005,Maldonado-Macias,fashion,"['sustainable', 'athleisure']",[],"['live_coverage', 'long_form_video']","New York, NY",False,large,15,4.7,"[3000, 6000]","['ootd', 'lookbook', 'seasonal', 'color_palette', 'minimalist']",5,True,small,"Sustainable athleisure | Minimalist design, maximum comfort | NYC-based fashion for modern living. Shop seasonal collections, lookbooks & styling guides on our feed."
biz_0006,"Reid, Weber and Lin",home_real_estate,"['property_management', 'home_improvement']",[],"['live_coverage', 'long_form_video', 'photography']","Portland, OR",False,small,30,4.7,"[500, 1200]","['minimalist', 'traditional', 'small_space']",0,False,any,"Property management & home improvement | Portland, OR
Minimalist design meets thoughtful renovations. Small spaces, big potential."
biz_0007,"Stewart, Gonzales and Harrison",fitness_sports,['outdoor'],[],"['blog_posts', 'live_coverage', 'podcast']","Seattle, WA",False,medium,30,3.5,"[800, 1800]","['strength', 'running', 'nutrition', 'cardio']",0,True,any,"Strength training & running coaching | Seattle
Nutrition guidance, cardio programs, expert tips
Blog, podcast & live event coverage 🏃‍♂️💪"
biz_0008,"Turner, Hill and Brown",food_beverage,['catering'],[],"['long_form_video', 'blog_posts']","Chicago, IL",True,large,2,4.0,"[2000, 7000]","['farm_to_table', 'dessert', 'casual']",3,True,small,"Catering & farm-to-table desserts | Chicago
Custom menus for every celebration. Fresh, seasonal ingredients sourced locally. From intimate dinners to large events, we bring elevated flavors to your table."
biz_0009,"Jones, Murray and Johnson",food_beverage,['food_trucks'],[],"['reels', 'social_posts', 'long_form_video']","Miami, FL",False,large,30,3.5,"[3000, 8000]","['farm_to_table', 'vegan', 'wine_pairing', 'magazine_quality']",2,True,large,"Farm-to-table food truck | Vegan cuisine & wine pairings | Miami
Fresh, seasonal ingredients. Magazine-worthy plates on wheels 🍷🌱"
biz_0010,Decker-Jones,fitness_sports,"['outdoor', 'personal_training']",[],['photography'],"Atlanta, GA",True,small,2,3.5,"[200, 700]","['recovery', 'cycling', 'pilates', 'cardio', 'yoga']",1,False,large,"Outdoor fitness & personal training | Cycling, yoga, pilates, cardio & recovery | Atlanta"
biz_0011,Gilbert PLC,food_beverage,"['fine_dining', 'bars']",[],"['live_coverage', 'long_form_video', 'podcast']","Seattle, WA",True,medium,0,,"[1000, 1500]","['vegan', 'natural_lighting', 'dessert', 'fine_dining', 'casual']",5,True,small,"Fine dining + cocktail bar | Plant-based cuisine | Seattle
Seasonal vegan plates, craft cocktails & desserts in naturally lit spaces
Reservations encouraged"
biz_0012,Ford-Spencer,fashion,['sustainable'],[],"['live_coverage', 'social_posts', 'reels']","Houston, TX",False,small,0,,"[300, 1000]","['color_palette', 'minimalist', 'ethical', 'luxury', 'lookbook']",3,True,large,"Sustainable luxury fashion | Ethical minimalist designs | Houston-based 🌿
Thoughtfully curated pieces. Clean lines, bold colors, timeless style.
Shop our lookbooks & latest drops"
biz_0013,"Huang, Cole and Pacheco",beauty_wellness,"['makeup', 'supplements']",[],"['long_form_video', 'social_posts', 'live_coverage']","Dallas, TX",False,medium,30,4.5,"[500, 1000]","['clean_beauty', 'natural', 'makeup_tutorial', 'luxury']",3,False,small,"Clean beauty & makeup. Natural supplements & luxury cosmetics. Dallas-based beauty collective. Tutorials, tips & wellness 💄✨"
biz_0014,"Lopez, Jacobs and Mason",food_beverage,"['food_trucks', 'bakeries']",[],"['social_posts', 'photography', 'live_coverage']","San Francisco, CA",False,medium,15,3.5,"[500, 2000]","['magazine_quality', 'fine_dining', 'natural_lighting', 'brunch', 'asian']",5,True,any,"Artisan bakery & food truck collective | Asian-inspired brunch, pastries & small plates | SF-based | Magazine-worthy eats"
biz_0015,Hayes LLC,fashion,"['accessories', 'streetwear']",[],['long_form_video'],"Atlanta, GA",False,medium,0,,"[500, 2000]","['minimalist', 'color_palette', 'seasonal', 'designer', 'luxury']",2,True,any,"Minimalist streetwear & accessories | Seasonal collections, curated color palettes | Designer pieces for everyday luxury | Atlanta"
biz_0016,"Miller, Lucas and Williams",retail,"['specialty', 'electronics']",[],['reels'],"Portland, OR",False,small,8,4.7,"[500, 1200]","['vintage', 'deals', 'luxury']",3,True,mid,"Vintage electronics & collectibles | Portland, OR
Curated finds, unbeatable deals. Luxury gear at reasonable prices. 🎛️"
biz_0017,"Kim, Gonzales and Mills",auto,['service'],[],"['live_coverage', 'social_posts', 'reels']","Atlanta, GA",True,medium,5,4.5,"[1000, 2000]","['vintage', 'performance', 'truck', 'suv']",0,True,mid,"Auto service specialists | Vintage & performance builds | Trucks & SUVs
Expert restoration and tuning in Atlanta. Custom work, quality craftsmanship."
biz_0018,Cox LLC,beauty_wellness,['fragrance'],[],['live_coverage'],"San Francisco, CA",True,small,15,4.3,"[300, 800]","['self_care', 'drugstore', 'anti_aging', 'natural', 'luxury']",0,True,any,"Niche fragrances & wellness. Natural, luxury self-care essentials. San Francisco 🌿"
biz_0019,Ortiz-Morgan,retail,"['boutique', 'apparel']",[],"['live_coverage', 'podcast', 'social_posts']","San Diego, CA",False,medium,2,3.5,"[1000, 1500]","['kids', 'outdoor', 'luxury', 'streetwear']",3,True,large,"Luxury kids & outdoor streetwear. San Diego-based boutique with elevated everyday pieces for young explorers. Premium quality, curated collections."
biz_0020,"Williams, Mccoy and Cook",fitness_sports,['gym'],[],['podcast'],"Philadelphia, PA",False,small,0,,"[200, 500]","['gear_review', 'pilates', 'yoga']",2,True,any,"Pilates, yoga & strength training | Philadelphia gym | Gear reviews & fitness podcast | Small group classes & personalized coaching"
biz_0021,Davis-Gregory,food_beverage,['bars'],[],"['long_form_video', 'podcast']","Nashville, TN",False,small,8,4.7,"[300, 1000]","['casual', 'farm_to_table', 'wine_pairing']",3,True,any,"Farm-to-table bar in Nashville | Small plates, natural wines & spirits | Casual vibes, thoughtful pairings 🍷"
biz_0022,King-York,beauty_wellness,['skincare'],[],"['podcast', 'long_form_video', 'live_coverage']","Nashville, TN",False,small,15,3.5,"[200, 900]","['anti_aging', 'wellness', 'makeup_tutorial']",1,True,small,"Skincare & wellness | Anti-aging treatments & facials | Nashville, TN
Expert skincare guidance meets holistic wellness. Your glow-up starts here."
biz_0023,"Marks, Cook and Aguilar",home_real_estate,['real_estate_agency'],[],"['photography', 'social_posts', 'long_form_video']","San Francisco, CA",True,medium,1,4.5,"[1000, 2500]","['garden', 'diy', 'renovation', 'modern', 'luxury']",5,True,small,"Luxury homes & renovations | San Francisco Bay Area
Modern design meets thoughtful living. We specialize in curated properties with garden spaces, renovation potential & contemporary finishes. Let's find your next home 🏡"
biz_0024,Rangel LLC,beauty_wellness,['makeup'],[],['photography'],"Austin, TX",False,medium,5,4.0,"[800, 1800]","['spa_day', 'skincare', 'luxury']",0,True,any,"Makeup & skincare | Luxury spa vibes | Austin, TX
Professional makeup services & premium skincare treatments
Book your glow-up today ✨"
biz_0025,"Hale, Myers and Larson",travel_hospitality,['boutique_hotel'],[],['podcast'],"Los Angeles, CA",False,small,5,4.7,"[500, 1000]","['boutique', 'couples', 'domestic']",0,True,any,Intimate boutique hotel in Los Angeles | Perfect for couples getaways | Listen to our travel stories podcast 🎧
biz_0026,Collins Group,retail,"['boutique', 'big_box']",[],"['reels', 'social_posts']","Seattle, WA",True,small,1,4.0,"[200, 900]","['outdoor', 'minimalist', 'luxury', 'boutique_finds', 'vintage']",1,True,any,"Curated outdoor & vintage finds | Minimalist luxury boutique | Seattle, WA | Small-batch pieces, thoughtfully selected ✨"
biz_0027,"Conner, Li and Santiago",fitness_sports,['outdoor'],[],"['podcast', 'photography']","Brooklyn, NY",False,small,2,4.3,"[300, 1000]","['cycling', 'nutrition', 'yoga', 'pilates', 'recovery']",1,True,any,"Outdoor fitness collective | Cycling, yoga, pilates & recovery
Brooklyn-based • Podcast + photography
Nutrition-focused training for real bodies 🚴‍♀️"
biz_0028,"Osborn, Gaines and Davis",auto,['detailing'],[],['social_posts'],"San Francisco, CA",False,small,15,4.7,"[300, 600]","['electric_vehicle', 'performance', 'luxury']",2,True,large,"Auto detailing | Electric & luxury vehicles | San Francisco
Premium paint protection, ceramic coating, interior restoration
We keep your EV looking showroom fresh 🚗"
biz_0029,"Henderson, Cox and Cox",auto,"['luxury', 'parts']",[],['social_posts'],"Denver, CO",False,medium,0,,"[1000, 2500]","['luxury', 'truck', 'sedan']",3,False,any,"Luxury auto parts & service | Trucks & sedans | Denver, CO
Premium components for discerning drivers. Expert installation available."
biz_0030,Bean LLC,beauty_wellness,['hair_salon'],[],"['blog_posts', 'live_coverage']","Los Angeles, CA",False,small,2,4.7,"[200, 700]","['makeup_tutorial', 'spa_day', 'natural', 'clean_beauty']",1,True,mid,"Hair care & clean beauty | Natural, nourishing treatments | Los Angeles
Wellness-focused salon. Tutorials & tips on our blog. Book your reset 💚"
biz_0031,Lee-Cooke,travel_hospitality,['bnb'],[],['photography'],"Los Angeles, CA",True,small,5,4.3,"[300, 800]","['boutique', 'luxury_travel', 'domestic', 'couples', 'family']",3,True,mid,Boutique Los Angeles getaway | Luxury stays for couples & families | Photography-worthy spaces designed for unforgettable moments
